key,de,en,fr,it,description
portal.global.exception.server.403,Zugriff verweigert,Access denied,Accès refusé,L'accesso è stato rifiutato,
portal.global.exception.server.404,Die angeforderte Ressource konnte nicht gefunden werden,The requested resource could not be found,La ressource demandée n'a pas été trouvée,Non è stato possibile trovare la risorsa richiesta,
portal.global.exception.server.504,Der Server ist im Moment nicht erreichbar,The server is not available at the moment,Le serveur est inaccessible pour le moment,Il server non è al momento disponibile,
portal.global.exception.server.unknown,Auf dem Server ist ein unerwarteter Fehler aufgetreten,An unexpected error has occurred on the server,Une erreur inattendue s'est produite sur le serveur,Si è verificato un errore imprevisto sul server,
portal.global.help,Hilfe,Help,,,
portal.global.search,Suche,Search,Recherche,Cerca,
portal.header.contact,Kontakt,Contact,Contact,Contatto,
portal.header.header-label,Header,Header,Header,Header,
portal.header.menu.open-navigation,Seitennavigation ausklappen,,,,
portal.header.menu.user-menu.label,Benutzermenü ausklappen,,,,
portal.home.company.browser-title,Arbeitgeber,Employers,Employeurs,Datori di lavoro,
portal.home.job-seeker.browser-title,Stellensuchende,Job seekers,Demandeur d'emploi,Persone in cerca d'impiego,
portal.home.logo-alttext,arbeit.swiss,work.swiss,travail.swiss,lavoro.swiss,
portal.home.logo-filename,logo_job_room_de.svg,logo_job_room_en.svg,logo_job_room_fr.svg,logo_job_room_it.svg,
portal.home.pav.browser-title,Arbeitsvermittler,Recruitment agencies,Agence de placement,Collocatori,
portal.job-ad.qualification.SEMISKILLED,angelernt,semiskilled,initié,semiqualificato,
portal.job-ad.qualification.SKILLED,gelernt,skilled,qualifié,qualificato,
portal.job-ad.qualification.UNSKILLED,ungelernt,unskilled,non qualifié,non qualificato,
portal.job-ad.search.query-panel.keywords.placeholder,"Fähigkeiten, Skills","Competencies, skills","Compétences, skills","Competenze, skills",
portal.job-ad.search.query-panel.keywords.tooltip,Sie können mehrere Suchbegriffe eingeben. Drücken Sie nach Eingabe Enter um weitere Suchbegriffe hinzuzufügen.,,,,
portal.job-ad.search.query-panel.localities.placeholder,"Arbeitsort, Kanton","Canton, Work location","Canton, Lieu de travail","Cantone, Luogo di lavoro",
portal.job-ad.search.query-panel.localities.tooltip,Mehrfachauswahl möglich,Multiple selection possible,Sélection multiple possible,Selezione multipla possibile,
portal.job-ad.search.query-panel.occupations.placeholder,"Berufsbezeichnungen, Kategorien","Occupations, categories","Professions, catégories","Professioni, categorie",
portal.job-ad.search.query-panel.occupations.tooltip,Mehrfachauswahl möglich. Starten Sie Ihre Eingabe und wählen Sie einen Begriff aus der Liste oder drücken Sie «Enter» auf Ihrer Tastatur.,Multiple selection possible. Start typing and choose a term from the list or press “Enter”.,Sélection multiple possible. Commencez votre saisie et choisissez un terme de la liste ou appuyez sur la touche « Enter ».,Selezione multipla possibile. Cominciare a digitare e scegliere nella lista un termine oppure premere «Invio» sulla tastiera.,
portal.job-ad-search.browser-title,Stellen finden,Search job,Chercher emploi,Ricerca posto vacante,
portal.job-ad-search.results-count.label,Stellen,Positions,Offres,Posti,
portal.job-detail.contact-details.label,Mögliche Bewerbungsformen,Possible forms of application,Formes possibles de postulation,Forme possibili di candidatura,
portal.job-detail.education,Ausbildungsniveau,Education,Niveau de formation,Livello di formazione,
portal.job-detail.employmentEndDate.label,Anstellungsdauer,Employment duration,Durée de l'engagement,Durata dell'assunzione,
portal.job-detail.employmentStartDate.label,Stellenantritt,Employment start,Entrée en fonction,Inizio dell'attività,
portal.job-detail.jobad-info.label,Informationen zur Stelle,Information about the job,Informations sur le poste,Informazioni sul posto,
portal.job-detail.min-requirements.label,Berufliche Mindestanforderung,Minimum professional requirement,Exigences professionnelles minimales,Requisito professionale minimo,
portal.job-detail.next-result,Nächstes,Next,Prochain,Prossimo,
portal.job-detail.previous-result,Vorheriges,Previous,Précédent,Precedente,
portal.job-detail.reference.job-id,Stellennummer,Job ID,Numéro du poste,Numero posto,
portal.job-detail.reference.phone,Telefon,Telephone,Téléphone,Telefono,
portal.job-detail.reference.responsible-job-center,Zuständiges RAV,Responsible job centre,ORP compétent,URC competente,
portal.job-detail.sendLink,Link versenden,Send link,Envoyer le lien,Invia link,
portal.job-detail.status,Status,Status,Statut,Stato,
portal.job-detail.workExperience,Berufserfahrung,Work experience,Expérience professionnelle,Esperienza professionale,
portal.job-detail.workForm.label,Arbeitsform,Work form,Forme de travail,Tipologia lavorativa,
portal.job-detail.workload.label,Arbeitspensum,Workload,Taux d'occupation,Grado di occupazione,
portal.job-detail.workplace.label,Arbeitsort,Work location,Lieu de travail,Luogo di lavoro,
portal.job-publication.application.legend,Bitte mindestens eine Bewerbungsform wählen und die ausgewählten Bewerbungsformen korrekt ausfüllen.,Select at least one application channel and provide all required information,Choisir au moins un type de postulation et remplir correctement les champs respectifs.,Scegliere almeno una tipologia di candidatura e compilare correttamente i campi rispettivi.,
portal.job-publication.application.validation.atLeastOneRequired,Bitte mindestens eine Bewerbungsform wählen und die ausgewählten Bewerbungsformen korrekt ausfüllen.,Select at least one application channel and provide all required information,Choisir au moins un type de postulation et remplir correctement les champs respectifs.,Scegliere almeno una tipologia di candidatura e compilare correttamente i campi rispettivi.,
portal.job-publication.browser-title,Stelle melden,Post job,Publier un poste vacant,Pubblica un posto vacante,
portal.job-publication.create.another,Weitere Stelle melden,,,,
portal.job-publication.disclaimer.error,"Bitte bestätigen Sie, dass der Arbeitgeber die orts- und branchenüblichen Lohn- und Arbeitsbedingungen einhält.","Please confirm that the employer complies with local and industry standards for wage and working conditions.","Veuillez confirmer que l'employeur respecte bien les conditions de travail et de salaire en vigueur dans la branche et la localité en question.","Confermare che il datore di lavoro rispetta le condizioni salariali e lavorative del luogo e del ramo in questione.",
portal.job-publication.disclaimer.label,"Ich bestätige, dass der Arbeitgeber die orts- und branchenüblichen Lohn- und Arbeitsbedingungen einhält.","I certify that the employer complies with local and industry standards for wage and working conditions.","Je confirme que l'employeur respecte les conditions de travail et de salaire usuelles dans la branche et la localité en question.","Confermo che il datore di lavoro rispetta le condizioni salariali e lavorative usuali nel ramo e nel luogo in questione.",
portal.job-publication.language-skills.add,Neue Sprachkompetenz hinzufügen,Add new language skill,Ajouter une nouvelle compétence linguistique,Aggiungi nuova conoscenza linguistica,
portal.job-publication.language-skills.label,Sprachkenntnisse,Languages,Connaissances linguistiques,Conoscenze linguistiche,
portal.job-publication.locality.additional-text.placeholder,z. B. Aussendienst in der ganzen Schweiz,e.g. in the field throughout Switzerland,p. ex. service externe dans toute la Suisse,p. es. servizio esterno in tutta la Svizzera,
portal.job-publication.occupation.qualification.label,Qualifikation,Qualification,Qualification,Qualifica,
portal.job-publication.publication.publicDisplay.and,und,and,et,e,
portal.job-publication.publication.publicDisplay.job-desk.label,Job-Desk,Job-Desk,Job-Desk,Job-Desk,
portal.job-publication.publication.publicDisplay.job-room.label,Job-Room,Job-Room,Job-Room,Job-Room,
portal.job-publication.publication.euresDisplay.link,https://ec.europa.eu/eures/public/de/,https://ec.europa.eu/eures/public/en/,https://ec.europa.eu/eures/public/fr/,https://ec.europa.eu/eures/public/it/,
portal.job-publication.publication.euresDisplay.label,EURES,EURES,EURES,EURES,
portal.job-publication.query-panel.label.title,Stellenbezeichnung,Job description,Désignation du poste,Descrizione del posto,
portal.job-publication.submit.info.email,E-Mail,Email,Courriel,E-mail,
portal.job-publication.submit.info.fax,Fax,,,,
portal.job-publication.submit.info.item1,Bei allfälligen Fragen werden Sie vom RAV kontaktiert.,,,,
portal.job-publication.submit.info.item2,"Sie werden per E-Mail informiert, sobald die Stelle aufgeschaltet wurde.",,,,
portal.job-publication.submit.info.item3,"Falls Sie in der Zwischenzeit Fragen haben, zögern Sie nicht, Ihr zuständiges RAV zu kontaktieren:",,,,
portal.job-publication.submit.info.phone,Tel.,,,,
portal.job-publication.submit.success,"Besten Dank für Ihre Stellenmeldung. Ihr Inserat wird nun von einem Regionalen Arbeitsvermittlungszentrum (RAV) geprüft. Sie werden per E-Mail informiert, sobald die Stelle veröffentlicht wurde.","Thank you for posting this job ad, which will now be checked by a regional employment centre (RAV). You will be informed by email as soon as it is published.","Merci d'avoir annoncé le poste vacant que l'ORP va examiner. Vous recevrez un courriel dès sa publication.","Grazie di aver annunciato il posto vacante che sarà esaminato dall'URC. Riceverà un'e-mail non appena il posto vacante verrà pubblicato.",
portal.job-search.filter.reporting-obligation.all.label,Alle,All,Tous,Tutti,
portal.job-search.filter.workload.from.label,Pensum von,Workload from,Taux de,Grado da,
portal.job-search.filter.workload.to.label,Pensum bis,Workload to,Taux à,Grado a,
portal.job-search.sendLink,Link versenden,Send link,Envoyer le lien,Invia link,
portal.manage-job-ads.browser-title,Stellen bewirtschaften,Manage job ads,Gérer les annonces,Gestire gli annunci,
portal.manage-job-ads.cancel.occupied.other,Andere Gründe,,,,
portal.manage-job-ads.cancel.success,Stellenanzeige wurde erfolgreich abgemeldet,,,,
portal.manage-job-ads.details.actions.cancel,Stellenanzeige abmelden,Cancel job posting,Retirer l'annonce,Cancellare il posto vacante,
portal.manage-job-ads.details.actions.duplicate,Stellenanzeige duplizieren,Duplicate the job ad,Dupliquer l'annonce,Duplicare l'annuncio,
portal.manage-job-ads.row-label,Aktionen anzeigen für {{row}},Show actions for {{row}},,,
portal.manage-job-ads.search.filter.createdBy.all,Alle,All,Tous,Tutti,
portal.manage-job-ads.search.filter.createdBy.myself,Meine,,,,
portal.manage-job-ads.search.filter.modal.action.filter,Ok,Ok,Ok,Ok,
portal.manage-job-ads.search.filter.modal.owner.label,Stellen,Jobs,Emplois,Posti,
portal.manage-job-ads.search.filter.modal.title,Stellenanzeigen filtern,,,,
portal.manage-job-ads.search.filter.status.all,Alle,All,Tous,Tutti,
portal.manage-job-ads.search.filter-button,Filtern,Filter,Filtrer,Filtra,
portal.manage-job-ads.search.no-results,Keine Ergebnisse gefunden,No results found,,,
portal.manage-job-ads.search.owner-name,Erstellt von,Created by,Créé par,Creato da,
portal.manage-job-ads.search.query,Stellen durchsuchen,,,,
portal.modal.confirm.no,Nein,No,Non,,
portal.modal.confirm.yes,Ja,Yes,Oui,Sì,
portal.navigation.menu-entry.account.profile,Profile,Profiles,Profils,Profili,
portal.navigation.menu-entry.admin.api-doc,API Doc,API Doc,API Doc,API Doc,
portal.navigation.menu-entry.admin.api-user-management,API-Benutzer verwalten,Manage API users,Gérer les utilisateurs API,Gestisci utente API,
portal.navigation.menu-entry.admin.blacklist,Blacklist,Blacklist,Liste noire,Lista nera,
portal.navigation.menu-entry.admin.elastic-search-reindex,Reindex Elasticsearch,Reindex Elasticsearch,Reindex Elasticsearch,Reindex Elasticsearch,
portal.navigation.menu-entry.admin.legal-terms,AGB verwalten,Manage GTC,Gérer CG,Gestisci CG,
portal.navigation.menu-entry.admin.system-notifications,System Mitteilungen,System notifications,Notifications système,Notifiche di sistema,
portal.navigation.menu-entry.admin.user-info,Benutzerinformationen,User information,Information utilisateur,Informazioni utente,
portal.navigation.menu-entry.candidate-search,Kandidaten finden,Find candidates,Trouver des candidats,Trova candidati,
portal.navigation.menu-entry.job-publication,Stelle melden,Post job,Publier un poste vacant,Pubblica un posto vacante,
portal.navigation.menu-entry.job-search,Stellen finden,Search job,Chercher emploi,Ricerca posto vacante,
portal.navigation.menu-entry.manage-job-ads,Stellen bewirtschaften,Manage job ads,Gérer les annonces,Gestire gli annunci,
portal.registration.browser-title,Registration,Registration,Enregistrement,Registrazione,
portal.registration.company.step1,UID eingeben,Enter UID,Saisir l'IDE,Inserire l'IDI,
portal.registration.company.step2,Freischaltcode anfordern,Request activation code,Demander le code de déverrouillage,Richiedere il codice di attivazione,
portal.registration.company.step3,Freischaltcode eingeben,Enter activation code,Saisir le code de déverrouillage,Inserire il codice di attivazione,
portal.registration.company.uid.help.info,Ihre Unternehmens-Identifikationsnummer (UID) finden Sie unter folgendem Link:,You can get your unique business identification number (UID) under the following link:,Vous trouverez votre numéro d’identification (IDE) au moyen du lien suivant:,?Clicca sul link per accedere al tuo IDI (Numero d’identificazione delle imprese):,
portal.registration.company.uid.help.label,Bundesamt für Statistik – UID Register,Federal Statistical Office FSO UID Register,Office fédéral de la statistique OFS – Registre IDE,Ufficio federale di statistica UST Registro IDI,
portal.registration.company.uid.help.link,https://www.uid.admin.ch/Search.aspx?lang=de,https://www.uid.admin.ch/Search.aspx?lang=en,https://www.uid.admin.ch/Search.aspx?lang=fr,https://www.uid.admin.ch/Search.aspx?lang=it,
portal.registration.company.uid.label,UID,UID,IDE,IDI,
portal.registration.company.uid.title,Unternehmens-Identifikationsnummer eingeben,Enter Company Identification Number,Numéro d'identification des entreprises,Numero d'identificazione delle imprese,
portal.registration.pav.step1,Organisation wählen,Select organisation,Sélectionner l'organisation,Selezionare l'organizzazione,
portal.registration.pav.step2,Freischaltcode anfordern,Request activation code,Demander le code de déverrouillage,Richiedere il codice di attivazione,
portal.registration.pav.step3,Freischaltcode eingeben,Enter activation code,Saisir le code de déverrouillage,Inserire il codice di attivazione,
portal.registration.request.access.code,Freischaltcode anfordern,Request activation code,Demander le code de déverrouillage,Richiedere il codice di attivazione,
portal.registration.termsOfUse.label,Nutzungsbedingungen anzeigen,Show terms and conditions,Afficher les conditions d'utilisation,Mostra le condizioni di utilizzo,
portal.shared.localities.geo-location-selection.aria-label,Aktueller Standort wählen,Select my current location,Sélectionner le lieu actuel,selezione la mia posizione attuale,
portal.shared.localities.geo-location-selection.not-available,Standort kann nicht ermittelt werden,,,,
portal.typeahead-multiselect.help-text.add-free-text,Sie können Freitext hinzüfügen indem Sie die Taste Tab oder Enter drücken,You can add free text items by hitting Tab or Enter without selection.,,,
portal.typeahead-multiselect.help-text.delete-selected-items,Drücken Sie die Tasten Shift und Tab oder die Rücktaste um ausgewählte Werte zu löschen,Press Shift + Tab or use Backspace to delete selected items.,,,
portal.typeahead-multiselect.help-text.limit-reached,Limitierung von {{ limit }} erreicht,Limit of {{ limit }} reached.,,,
portal.typeahead-multiselect.help-text.query-min-length,Geben Sie mindestens {{queryMinLength}} Zeichen ein um die Auswahlliste anzuzeigen. Treffen Sie eine Auswahl mit den Pfeiltasen Oben und Unten.,Enter at least {{queryMinLength}} characters to query the list of selectable items. Select by using the up and down arrow keys.,,,
portal.typeahead-multiselect.help-text.select-up-to-limit,Sie können maximal {{ limit }} Werte auswählen,You can select up to {{ limit }} items.,,,
portal.typeahead-multiselect.legend.selected-items,Ausgewählte Werte,Selected Items,,,
portal.typeahead-multiselect.remove-item,Wert {{item}} entfernen,Remove item {{item}},,,
portal.typeahead-single.help-text.instruction,Geben Sie mindestens {{number}} Zeichen ein um die Auswahlliste anzuzeigen. Treffen Sie eine Auswahl mit den Pfeiltasen Oben und Unten.,Enter at least {{number}} characters to query the list of selectable items. Select by using the up and down arrow keys.,,,
portal.widgets.candidate-search.title,Kandidaten finden,Find candidates,Trouver des candidats,Trova candidati,
portal.widgets.job-publication.title,Stelle melden,Post job,Publier un poste vacant,Pubblica un posto vacante,
portal.widgets.job-search.title,Stellen finden,Search job,Chercher emploi,Ricerca posto vacante,
portal.widgets.manage-job-ads.actions.cancel,Abmelden,Cancel,Retirer,Cancellare,
portal.widgets.manage-job-ads.actions.duplicate,Duplizieren,Duplicate,Dupliquer,Duplicare,
portal.widgets.manage-job-ads.actions.open,Öffnen,Open,Ouvrir,Apri,
portal.widgets.manage-job-ads.show-all,Alle anzeigen,,,,
portal.widgets.manage-job-ads.title,Stellen bewirtschaften,Manage job ads,Gérer les annonces,Gestire gli annunci,
register.title,Registrierung,Registration,Enregistrement,Registrazione,
registration.customer.birthdate.label,Geburtstag,Date of Birth,Anniversaire,Compleanno,
registration.customer.cancel,Abbrechen,Cancel,Annuler,Annulla,
registration.customer.identificaton.already-taken.error,Diese Personennummer wurde bereits verwendet,This personal identification number is already in use,Ce numéro d’identification personnel est déjà utilisé,Questo numero personale è già attribuito,
registration.customer.identificaton.mismatch.error,"Wir konnten keine RAV-Daten anhand Ihrer Angaben finden. Bitte überprüfen Sie, dass Personennummer und Geburtsdatum korrekt eingegeben wurden.","We were unable to find any RAV data based on the information provided. Please verify your personal ID and date of birth.","Nous n'avons trouvé aucune donnée ORP correspondant à vos indications. Veuillez vérifier que vous avez indiqué correctement le numéro personnel et la date de naissance.","Non abbiamo trovato dati URC in base alle indicazioni fornite. Per favore controllare che il numero personale e la data di nascita siano stati inseriti correttamente.",
registration.customer.login,Login,Login,Login,Login,
registration.customer.messages.validate.birthdate,Das Datum muss zwischen dem 01.01.1900 und heute liegen.,The date must be between 01.01.1900 and today,La date doit se situer entre le 01.01.1900 et aujourd'hui.,La data deve essere compresa tra il 01.01.1900 e oggi.,
registration.customer.messages.validate.pn,Bitte eine Zahl mit 8 Stellen eingeben,Please provide a number with 8 digits,Veuillez indiquer un nombre à 8 chiffres,Inserisci un numero di 8 cifre.,
registration.customer.pn.label,Personennummer,Personal ID,Numéro personnel,Numero personale,
registration.customer.text,"Bitte identifizieren Sie sich mit Ihrer Personennummer und Ihrem Geburtsdatum. Die Personennummer finden Sie auf dem Brief, den Sie bei der Anmeldung vom RAV erhalten haben.","Please authenticate yourself using your personal ID and date of birth. Your personal ID is indicated in the letter which you received from the RAV upon registration.","Veuillez vous identifier au moyen de votre numéro personnel et de votre date de naissance. Vous trouvez votre numéro personnel sur la lettre que vous avez reçu de l'ORP lors de votre inscription.","Identificati con la tua data di nascita e il tuo numero personale che hai ricevuto con la lettera quando ti sei iscritto all'URC.",
registration.customer.title,Identifizierung,Identification,Identification,Riconoscimento,
registrationAccessCode.accessCode.error.invalid,Freischaltcode ungültig,Activation code is invalid,Code de déverrouillage non valable,Codice di attivazione non valido,
registrationAccessCode.accessCode.error.minlength,Freischaltcode muss aus 8 Stellen bestehen,Activation code must contain 8 characters,Le code de déverrouillage doit se composer de 8 caractères,Il codice di attivazione deve avere 8 caratteri,
registrationAccessCode.accessCode.error.required,Freischaltcode wird benötigt,Activation code is required,Un code de déverrouillage est nécessaire ,È necessario il codice di attivazione,
registrationAccessCode.accessCode.label,Freischaltcode,Activation code,Code de déverrouillage,Codice di attivazione,
registrationAccessCode.placeholder,Freischaltcode eingeben,Enter activation code,Saisir le code de déverrouillage,Inserire il codice di attivazione,
registrationAccessCode.title,Freischaltcode eingeben,Enter activation code,Saisir le code de déverrouillage,Inserire il codice di attivazione,
registrationCompanyDialog.activationCodeRequested,Freischaltcode erfolgreich beantragt,Activation code requested,Le code de déverrouillage a bien été demandé.,Richiesta inoltrata,
registrationCompanyDialog.login.description,Mit dem zugesendeten Freischaltcode können Sie sich anschliessend über den Login in Ihr Benutzerkonto einloggen.,You can then log in to your user account using this activation code.,Vous pourrez ensuite vous connecter à votre compte d'utilisateur au moyen du code de déverrouillage.,Con il codice di attivazione inviato potrà accedere al suo account utente tramite il login.,
registrationCompanyDialog.placeholder,CHE-123.456.789,CHE-123.456.789,CHE-123.456.789,CHE-123.456.789,
registrationCompanyDialog.postal.description,Sie erhalten <b>per Post</b> einen Freischaltcode an die der UID zugehörigen Postadresse:,We will send an activation code <b>by post</b> to the address associated with your UID:,Nous enverrons un code d'activation <b>par poste</b> à l'adresse qui est connectée avec votre IDE:,Invieremo un codice di attivazione <b>per posta</b> all'indirizzo iscritto con il vostro IDI:,
registrationCompanyDialog.requestActivationCode,Freischaltcode per Post anfordern,Request activation code by post,Demander le code de déverrouillage par voie postale,Richiedere il codice di attivazione per posta,
registrationCompanyDialog.returnToHomepage,Zurück zur Startseite,Return to homepage,Retour à la page d'accueil,Tornare alla pagina iniziale,
registrationCompanyDialog.title,Bitte geben Sie nun Ihre Unternehmens-Identifikationsnummer (UID) an.,Please enter your company identification number (UID).,Veuillez indiquer votre numéro d'identification des entreprises (IDE).,Inserire il numero d'identificazione delle imprese (IDI).,
registrationCompanyDialog.validation.error.notFound,Es wurde kein Unternehmen mit der eingegebenen UID gefunden.,We were unable to find a company with the UID you entered.,Aucune entreprise ayant l'IDE indiquée n'a été trouvée.,Non è stata trovata nessuna impresa con l'IDI inserito,
registrationCompanyDialog.validation.error.uid,"Ungültiges UID-Format, gültiges Format: CHE-123.456.789","Invalid UID format. Please use the format CHE-123.456.789","Format de l'IDE non valable, format valable: CHE-123.456.789","Formato IDI non valido, formato valido: CHE-123.456.789",
registrationPavDialog.activationCodeRequested,Freischaltcode erfolgreich beantragt,Activation code requested,Le code de déverrouillage a bien été demandé.,La richiesta è andata a buon fine,
registrationPavDialog.login.description,Mit dem zugesendeten Freischaltcode können Sie sich anschliessend über den Login in Ihr Benutzerkonto einloggen.,You can then log in to your user account using this activation code.,Vous pourrez ensuite vous connecter à votre compte d'utilisateur au moyen du code de déverrouillage.,Con il codice di attivazione inviato potrai accedere al tuo account utente tramite il login.,
registrationPavDialog.placeholder,Geben Sie Ihre Organisation ein,Please enter your organisation.,Veuillez indiquer votre organisation,Inserire la sua organizzazione,
registrationPavDialog.postal.description,Sie erhalten <b>per Post</b> einen Freischaltcode an die aus dem VZ AVG-Register ausgewählte Adresse:,We will send an activation code <b>by post</b> to the address associated with the Register VZ AVG:,Nous enverrons un code d'activation <b>par poste</B à l'adresse qui est connectée avec l'entreprise que vous avez choisie dans le répertoire des AP LSE:,Invieremo un codice di attivazione <b>per posta</b> all'indirizzo della ditta da voi scelta dall'elenco ES ELC:,
registrationPavDialog.requestActivationCode,Freischaltcode per Post anfordern,Request activation code by post,Demander le code de déverrouillage par voie postale,Richiedere il codice di attivazione per posta,
registrationPavDialog.returnToHomepage,Zurück zur Startseite,Return to homepage,Retour à la page d'accueil,Torna alla pagina iniziale,
registrationPavDialog.title,Bitte wählen Sie Ihre Organisation aus der VZ AVG Liste aus,Please select your organisation from the VZ AVG list.,Veuillez sélectionner votre organisation dans le répertoire des AP LSE ,Selezionare la sua organizzazione dall'elenco OE LC,
registrationQuestionnaire.employer,Ich möchte arbeit.swiss als <b>Arbeitgeber</b> nutzen,I would like to use work.swiss as an <b>employer</b>,Je souhaite utiliser travail.swiss en tant que <b>employeur</b> ,Voglio usare lavoro.swiss come <b>datore di lavoro</b>,
registrationQuestionnaire.header,Nutzungsart wählen,Type of usage,Type d'utilisation,Tipo di utilizzo,
registrationQuestionnaire.placeholder,Bitte wählen Sie eine der folgenden Nutzungsarten aus.,Please select one of the following types of usage.,Veuillez sélectionner l'un des types d'utilisation suivants.,Si prega di selezionare uno dei seguenti tipi di utilizzo.,
registrationQuestionnaire.ravCustomer,Ich möchte arbeit.swiss als <b>RAV-Kunde</b> nutzen,I would like to use work.swiss as a <b>RAV customer</b>,Je souhaite utiliser travail.swiss en tant que <b>client ORP</b> ,Voglio usare lavoro.swiss come <b>cliente URC</b>,
registrationQuestionnaire.recruitmentAgency.message,Ich möchte arbeit.swiss als <b>privater Arbeitsvermittler</b> nutzen,I would like to use work.swiss as an <b>employment agency</b>,Je souhaite utiliser travail.swiss en tant que <b>agence de placement privée</b> ,Voglio usare lavoro.swiss come <b>agenzia privata di collocamento</b>,
registrationQuestionnaire.termsOfUse.accept,Ich akzeptiere die Nutzungsbedingungen,I agree to the terms and conditions,J'accepte les conditions d'utilisation,Accetto le condizoni di utilizzo,
systemNotificationsManagement.systemnotification.type.interruption,Unterbrechung,Interruption,,,
systemNotificationsManagement.systemnotification.type.maintenance,Wartung,Maintenance,,,
systemNotificationsManagement.systemnotification.type.systemerror,Systemfehler,System error,,,
typeahead-multiselect.type.canton,Kanton,Canton,Canton,Cantone,
typeahead-multiselect.type.classification,Berufskategorie,Category,Catégorie,Categoria,
typeahead-multiselect.type.locality,Ortschaft,Locality,Localité,Località,
typeahead-multiselect.type.occupation,Berufsbezeichnung,Occupation,Profession,Professione,
